"user_id","rank"
1481,"C"
1482,"C"
1485,"C"
1487,"C"
1489,"B"
1493,"C"
1494,"C"
1498,"C"
1500,"C"
1501,"C"
1504,"C"
1505,"C"
1506,"C"
1507,"C"
1508,"C"
1509,"C"
1510,"C"
1511,"C"
1513,"C"
1514,"C"
1519,"C"
1521,"C"
1522,"C"
1523,"C"
1526,"C"
1527,"C"
1530,"C"
1531,"C"
1532,"C"
1534,"C"
1537,"C"
1539,"C"
1540,"C"
1543,"C"
1547,"C"
1548,"C"
1549,"C"
1550,"C"
1552,"C"
1553,"C"
1554,"C"
1555,"C"
1556,"C"
1557,"C"
1561,"C"
1562,"A"
1563,"C"
1566,"C"
1567,"C"
1568,"A"
1569,"C"
1572,"C"
1573,"C"
1574,"C"
1577,"C"
1580,"C"
1581,"B"
1584,"C"
1585,"C"
1587,"C"
1588,"C"
1589,"C"
1590,"B"
1591,"C"
1593,"C"
1596,"C"
1598,"C"
1599,"C"
1600,"B"
1601,"C"
1602,"C"
1603,"B"
1604,"C"
1605,"C"
1609,"C"
1611,"C"
1613,"C"
1614,"C"
1615,"C"
1617,"C"
1618,"C"
1619,"C"
1620,"B"
1621,"C"
1623,"C"
1624,"C"
1625,"C"
1626,"C"
1627,"C"
1628,"C"
1629,"C"
1630,"C"
1631,"C"
1632,"C"
1633,"C"
1634,"C"
1635,"A"
1636,"C"
1637,"C"
1638,"C"
1640,"C"
1641,"C"
1642,"C"
1643,"C"
1645,"C"
1646,"C"
1647,"AA"
1648,"C"
1649,"C"
1651,"C"
1653,"C"
1656,"C"
1658,"C"
1661,"C"
1664,"C"
1665,"C"
1666,"C"
1667,"C"
1668,"C"
1670,"C"
1677,"C"
1678,"C"
1679,"C"
1681,"C"
1684,"B"
1685,"C"
1688,"C"
1689,"C"
1691,"C"
1692,"C"
1693,"C"
1695,"C"
1696,"C"
1700,"C"
1702,"C"
1703,"C"
1704,"C"
1705,"C"
1706,"C"
1709,"C"
1710,"B"
1711,"C"
1712,"C"
1714,"B"
1715,"C"
1716,"A"
1718,"C"
1719,"C"
1720,"C"
1722,"C"
1725,"C"
1728,"C"
1731,"C"
1733,"C"
1734,"C"
1735,"C"
1740,"C"
1741,"C"
1742,"C"
1745,"C"
1746,"C"
1747,"C"
1748,"C"
1753,"C"
1756,"A"
1761,"C"
1762,"C"
1763,"B"
1764,"C"
1765,"C"
1768,"C"
1770,"C"
1772,"C"
1774,"C"
1775,"C"
1776,"C"
1777,"C"
1778,"C"
1779,"C"
1780,"C"
1782,"C"
1783,"C"
1784,"C"
1785,"B"
1787,"C"
1790,"C"
1791,"C"
1794,"C"
1795,"C"
1797,"C"
1801,"C"
1803,"C"
1810,"C"
1812,"C"
1813,"C"
1815,"C"
1816,"C"
1817,"C"
1818,"C"
1819,"C"
1820,"C"
1823,"C"
1825,"C"
1826,"C"
1827,"C"
1830,"C"
1834,"C"
1835,"B"
1837,"B"
1840,"B"
1842,"C"
1843,"C"
1844,"B"
1845,"C"
1846,"C"
1847,"C"
1851,"C"
1852,"C"
1853,"C"
1854,"C"
1855,"C"
1857,"C"
1858,"C"
1859,"C"
1860,"C"
1861,"C"
1862,"C"
1863,"C"
1864,"B"
1868,"C"
1871,"B"
1872,"C"
1873,"C"
1874,"C"
1877,"C"
1878,"C"
1879,"C"
1880,"C"
1881,"C"
1883,"C"
1886,"C"
1888,"C"
1890,"None"
1892,"C"
1893,"B"
1894,"C"
1895,"C"
1897,"B"
1899,"C"
1901,"C"
1907,"C"
1908,"C"
1911,"C"
1914,"C"
1916,"C"
1920,"C"
1927,"C"
1931,"C"
1933,"C"
1943,"C"
1944,"C"
1945,"C"
1946,"C"
1949,"C"
1950,"C"
1952,"C"
1953,"C"
1957,"C"
1958,"C"
1963,"C"
1967,"C"
1970,"C"
1971,"C"
1974,"C"
1978,"C"
1980,"C"
1985,"B"
1986,"C"
1987,"C"
1989,"C"
1992,"C"
1993,"C"
1995,"C"
1996,"C"
1997,"B"
2001,"C"
2003,"C"
2004,"C"
2006,"B"
2009,"C"
2013,"C"
2015,"C"
2017,"C"
2018,"C"
2019,"C"
2021,"C"
2022,"C"
2023,"B"
2024,"C"
2025,"C"
2027,"C"
2028,"C"
2031,"C"
2032,"C"
2033,"C"
2035,"C"
2036,"C"
2040,"C"
2041,"C"
2045,"C"
2046,"C"
2047,"C"
2048,"C"
2049,"C"
2051,"C"
2052,"C"
2053,"C"
2056,"B"
2058,"C"
2061,"C"
2062,"B"
2064,"C"
2066,"C"
2067,"C"
2068,"C"
2073,"C"
2077,"C"
2078,"C"
2083,"C"
2089,"C"
2091,"B"
2092,"C"
2094,"B"
2103,"C"
2105,"C"
2106,"C"
2107,"C"
2115,"C"
2117,"C"
2118,"C"
2120,"B"
2121,"C"
