diff_zip,quality_score1,quality_score2,quality_score_diff,revenue1,revenue2,discount_ratio1,discount_ratio2,prime_session1,prime_session2,late_session1,late_session2,couple1,couple2,weekend1,weekend2,special_request2,num_hvc,client_rank_label,signup_to_book_interval,booking_interval,income_level,booking_hour_ahead1_On_Demand,booking_hour_ahead2_On_Demand,market_maturity_Mature_Market,market_maturity_Medium_Age_Market,market_maturity_New_Market
0,3.73,3.13,0.6,99.0,99.0,0.0,0.0,1,1,0,0,0,0,0,0,0,12,0,4,128,40358,1,1,0,0,0
1,2.54,2.54,0.0,139.0,139.0,0.0,0.0,0,0,1,1,0,0,0,1,0,2,1,7,5,36058,1,1,0,0,0
0,4.92,4.92,0.0,139.0,139.0,0.0,0.0,0,0,1,1,0,0,0,0,0,2,0,90,0,36058,0,0,0,0,0
0,3.13,3.69,-0.56,99.0,99.0,0.0,0.0,0,1,0,0,0,0,1,1,0,2,0,90,14,36058,1,1,0,0,0
0,3.09,3.13,-0.04,99.0,99.0,0.0,0.0,0,0,1,0,0,0,0,0,0,3,0,0,80,29939,1,1,0,0,0
0,3.17,3.17,0.0,99.0,139.0,0.0,0.0,0,0,1,1,0,0,0,1,0,1,0,0,180,51999,1,1,0,0,0
1,3.73,2.58,1.15,139.0,139.0,0.0,0.0,0,0,1,1,0,0,0,1,0,1,0,4,180,51999,1,1,0,0,0
0,4.28,2.41,1.87,99.0,99.0,0.0,0.0,0,0,1,1,0,0,1,1,0,6,0,0,41,39775,1,1,0,0,0
0,4.36,3.13,1.23,99.0,139.0,0.0,0.0,1,1,0,0,0,0,0,0,0,6,0,0,1,39775,1,1,0,0,0
0,4.92,4.92,0.0,99.0,99.0,0.0,0.0,0,1,1,0,0,0,0,1,0,6,0,1,180,39775,1,1,0,0,0
0,4.32,4.32,0.0,278.0,198.0,0.0,0.0,1,1,0,0,1,1,0,1,0,6,0,50,99,39775,0,0,0,0,0
0,2.54,4.36,-1.82,99.0,99.0,0.0,0.0,1,0,0,1,0,0,0,0,0,6,0,26,180,17628,0,0,0,0,0
0,2.58,2.58,0.0,99.0,139.0,0.0,0.0,0,0,1,1,0,0,1,1,0,6,1,0,0,17628,1,1,0,0,0
