"user_id","sign_up_to_book","interval_between_bookings","hours_ahead1","hours_ahead2","median_income","diff_zip","city_id","quality_score1","quality_score2","quality_score_diff","revenue1","revenue2","discount_ratio1","discount_ratio2","prime_session1","prime_session2","late_session1","late_session2","couple1","couple2","weekend1","weekend2","special_request2","num_hvc","rank"
6903,297,19,3,0,17628,0,2,3.13,3.73,-0.60,79.00,99.00,0.202020,0.000000,0,0,1,1,0,0,0,1,0,6,"C"
8978,1,0,3,3,17628,0,2,3.73,4.92,-1.19,198.00,99.00,0.000000,0.000000,1,1,0,0,1,0,0,0,0,6,"C"
8981,0,496,1,16,17628,0,2,4.92,3.09,1.83,99.00,99.00,0.000000,0.000000,1,0,0,0,0,0,1,1,0,6,"C"
148,878,90,4,1,13832,0,2,4.96,4.28,0.68,29.00,99.00,0.707071,0.000000,0,1,0,0,0,0,1,1,0,5,"C"
1598,0,12,3,15,13832,0,2,2.54,3.17,-0.63,99.00,198.00,0.000000,0.000000,0,0,1,0,0,1,0,0,0,5,"C"
3322,646,34,1,1,13832,0,2,4.92,4.92,0.00,99.00,99.00,0.000000,0.000000,1,0,0,0,0,0,1,1,0,5,"B"
3340,771,3,1,1,13832,0,2,3.09,4.28,-1.19,99.00,99.00,0.000000,0.000000,1,0,0,1,0,0,1,0,0,5,"C"
5505,299,51,1,1,13832,0,2,4.32,3.17,1.15,99.00,99.00,0.000000,0.000000,1,0,0,0,0,0,0,0,0,5,"C"
6150,407,14,8,5,13832,0,2,4.96,4.32,0.64,119.00,129.00,0.143885,0.071942,0,0,1,1,0,0,1,1,0,5,"B"
7596,0,15,8,12,13832,0,2,2.58,2.58,0.00,139.00,139.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,5,"C"
529,0,2,17,20,24762,0,2,3.17,3.17,0.00,99.00,99.00,0.000000,0.000000,0,0,0,0,0,0,0,1,0,19,"C"
2182,0,108,3,3,24762,0,2,3.73,3.73,0.00,49.00,79.00,0.505051,0.202020,0,1,1,0,0,0,0,1,0,19,"C"
2405,0,430,1,3,24762,1,2,2.46,3.13,-0.67,198.00,139.00,0.000000,0.000000,1,1,0,0,1,0,1,0,0,19,"C"
2427,448,14,1,10,24762,0,2,3.13,3.21,-0.08,79.00,99.00,0.202020,0.000000,0,0,1,1,0,0,0,0,0,19,"C"
2965,34,32,1,1,24762,0,2,3.73,2.02,1.71,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,19,"C"
3991,553,13,0,2,24762,0,2,4.92,4.03,0.89,173.00,278.00,0.103627,0.000000,0,0,1,1,0,1,1,1,0,19,"A"
4423,0,215,1,0,24762,0,2,4.28,4.92,-0.64,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,19,"C"
6416,0,191,1,1,24762,1,2,1.90,4.32,-2.42,139.00,139.00,0.000000,0.000000,0,0,0,1,0,0,0,1,0,19,"C"
6619,0,55,1,1,24762,0,2,3.73,3.73,0.00,0.00,0.00,0.000000,0.000000,0,0,1,1,0,0,0,0,0,19,"C"
6744,14,10,323,5,24762,0,2,4.05,3.73,0.32,0.00,0.00,0.000000,0.000000,0,0,1,1,1,1,0,1,0,19,"C"
7487,0,46,1,1,24762,0,2,4.92,4.92,0.00,139.00,99.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,19,"C"
3816,0,568,6,1,20956,0,2,3.73,3.73,0.00,278.00,248.00,0.000000,0.107914,1,0,0,1,1,1,0,0,0,12,"C"
4189,0,7,3,2,20956,0,2,4.92,4.28,0.64,169.00,169.00,0.000000,0.000000,0,1,1,0,0,0,0,0,0,12,"C"
4540,0,543,7,1,20956,1,2,3.73,4.88,-1.15,99.00,99.00,0.000000,0.000000,0,1,1,0,0,0,0,1,0,12,"C"
7203,1,18,9,1,20956,0,2,3.73,3.73,0.00,99.00,198.00,0.000000,0.131579,1,0,0,1,0,1,0,1,0,12,"C"
8246,67,1,50,2,20956,0,2,3.41,3.71,-0.30,278.00,278.00,0.000000,0.000000,1,0,0,0,1,1,1,0,0,12,"B"
4962,0,87,1,1,33137,0,2,3.13,3.73,-0.60,99.00,99.00,0.000000,0.000000,1,1,0,0,0,0,1,0,0,1,"A"
2292,526,8,1,1,42615,0,2,4.96,4.32,0.64,79.00,69.00,0.202020,0.303030,0,0,1,1,0,0,0,1,0,9,"C"
4973,207,3,2,2,42615,0,2,4.92,4.92,0.00,198.00,99.00,0.000000,0.000000,1,0,0,0,1,0,0,0,0,9,"C"
5268,0,35,4,1,42615,0,2,3.45,3.73,-0.28,198.00,99.00,0.000000,0.000000,0,1,1,0,1,0,1,1,0,9,"B"
8151,0,21,1,3,42615,0,2,4.92,4.92,0.00,0.00,0.00,0.000000,0.000000,0,0,1,1,0,0,1,1,0,9,"C"
314,10,25,4,623,52965,0,2,3.17,3.17,0.00,198.00,99.00,0.000000,0.000000,0,1,1,0,1,0,0,0,0,32,"C"
435,0,0,15,5,52965,0,2,2.54,2.54,0.00,139.00,99.00,0.000000,0.000000,0,0,0,1,0,0,0,0,0,32,"C"
526,0,2,5,6,52965,0,2,3.17,3.17,0.00,99.00,99.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,32,"C"
1046,1,161,25,1,52965,0,2,2.85,4.01,-1.16,98.00,198.00,0.505051,0.000000,0,1,0,0,1,1,1,1,0,32,"A"
1064,0,429,22,1,52965,0,2,1.98,3.09,-1.11,198.00,99.00,0.000000,0.000000,1,0,0,1,1,0,1,0,0,32,"C"
1154,4,375,98,26,52965,1,2,2.54,3.13,-0.59,0.00,139.00,1.000000,0.000000,1,1,0,0,0,0,0,1,0,32,"C"
1158,0,1009,1,1,52965,0,2,2.54,3.17,-0.63,169.00,139.00,0.000000,0.000000,1,0,0,1,0,0,0,0,0,32,"C"
1236,0,1,3,3,52965,0,2,3.13,3.13,0.00,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,0,1,0,32,"C"
1248,827,7,1,1,52965,1,2,3.13,4.88,-1.75,109.00,139.00,0.215827,0.000000,1,0,0,1,0,0,1,1,0,32,"AA"
1485,0,81,1,12,52965,1,2,3.17,3.17,0.00,99.00,99.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,32,"C"
2004,0,633,1,30,52965,0,2,3.73,4.92,-1.19,98.00,139.00,0.505051,0.000000,1,0,0,1,1,0,1,0,0,32,"C"
2107,0,48,1,3,52965,0,2,3.73,3.73,0.00,99.00,198.00,0.000000,0.000000,0,0,1,1,0,1,0,0,0,32,"C"
2378,1,133,1,1,52965,0,2,3.13,3.45,-0.32,198.00,198.00,0.000000,0.000000,0,1,0,0,1,1,1,1,0,32,"C"
2403,0,121,6,1,52965,1,2,2.54,3.73,-1.19,99.00,198.00,0.000000,0.000000,0,0,1,1,0,1,1,0,0,32,"C"
2483,484,5,2,1,52965,0,2,4.96,3.13,1.83,79.00,109.00,0.202020,0.215827,0,1,1,0,0,0,1,1,0,32,"C"
2488,761,308,1,1,52965,1,2,3.13,4.96,-1.83,99.00,99.00,0.000000,0.000000,1,1,0,0,0,0,0,0,0,32,"C"
2568,49,22,1,1,52965,0,2,2.54,2.54,0.00,139.00,139.00,0.000000,0.000000,0,0,1,0,0,0,0,1,0,32,"C"
2710,2,8,27,5,52965,0,2,3.73,3.73,0.00,99.00,99.00,0.000000,0.000000,1,1,0,0,0,0,0,0,0,32,"B"
3263,104,402,1,3,52965,0,2,4.92,4.88,0.04,99.00,89.00,0.000000,0.101010,1,1,0,0,0,0,0,1,0,32,"C"
4073,0,45,2,1,52965,0,2,4.92,4.92,0.00,198.00,198.00,0.000000,0.000000,1,1,0,0,1,1,0,1,0,32,"B"
4191,6,0,5,1,52965,0,2,2.58,2.54,0.04,139.00,139.00,0.000000,0.000000,1,1,0,0,0,0,0,0,0,32,"C"
4310,0,175,7,311,52965,0,2,2.58,2.58,0.00,99.00,99.00,0.000000,0.000000,0,0,0,0,0,0,0,0,0,32,"C"
5004,0,231,2,3,52965,0,2,4.92,4.96,-0.04,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,1,1,0,32,"C"
6234,6,13,1,1,52965,0,2,3.13,3.09,0.04,0.00,0.00,0.000000,0.000000,1,1,0,0,1,1,1,1,0,32,"C"
7168,0,48,1,1,52965,0,2,4.32,3.73,0.59,99.00,99.00,0.000000,0.000000,0,0,1,1,0,0,0,1,0,32,"C"
