diff_zip,prime_session1,prime_session2,late_session1,late_session2,couple1,couple2,weekend1,weekend2,special_request2,booking_hour_ahead1_On_Demand,booking_hour_ahead2_On_Demand,market_maturity_Mature_Market,market_maturity_Medium_Age_Market,market_maturity_New_Market,signup_to_book_interval,booking_interval,quality_score1,quality_score2,quality_score_diff,revenue1,revenue2,discount_ratio1,discount_ratio2,income_level,num_hvc
0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0.166666667,0.761111111,0.984,0.864,0.560483871,0.193362193,0.468013468,0.035971,0,0.247988504,0
1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0.088888889,1,0.746,0.626,0.560483871,0.142857143,0.166666667,0,0,0.165919486,0.123595506
0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0.544444444,0.746,0.746,0.5,0.157287157,0.234006734,0.215827,0,0.388931448,0.08988764
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.116666667,0.746,0.626,0.560483871,0.295815296,0.345117845,0,0,0.180891812,0.06741573
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.688888889,0.777777778,0.634,0.61,0.512096774,0.209235209,0.166666667,0,0,0.198289266,0.033707865
0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0.562,0.682,0.439516129,0.285714286,0.316498316,0,0.096154,0.461386085,0.033707865
0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.211111111,0.166666667,0.872,0.864,0.504032258,0.209235209,0.193602694,0,0.206897,0.340968328,0.02247191
0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0.327777778,0.738,0.992,0.371975806,0.157287157,0.234006734,0.215827,0,0.418010308,0.168539326
0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0.15,0.634,0.872,0.380040323,0.258297258,0.183501684,0,0,0.419338462,0.06741573
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0.626,0.376,0.626008065,0.358888889,0.183501684,0.07443,0,0.142815051,0.011235955
0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0.255555556,0.088888889,0.618,0.814,0.401209677,0,0,0,0,0.20987548,0.640449438
0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0.222222222,0.466666667,0.992,0.992,0.5,0.142857143,0.234006734,0,0,0.296749423,0.134831461
0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0.061111111,0.592,0.642,0.474798387,0.432900433,0.345117845,0,0,0.2699869,0.011235955
0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0.144444444,0.992,0.992,0.5,0.142857143,0.14983165,0,0.10101,0.296749423,0.134831461
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0.033333333,1,0.404,0.626,0.388104839,0,0.234006734,1,0,0.455538582,0.011235955
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.011111111,0.038888889,0.754,0.754,0.5,0.157287157,0.132996633,0,0.275229,0.25603902,0.04494382
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.077777778,0.872,0.992,0.439516129,0.200577201,0.166666667,0,0,0.27942903,0.033707865
