user_id,interval_between_bookings,not_book_interval,rank
61070,2,2,AAA
61126,0,0,C
61285,5,5,C
61394,8,8,C
61419,148,148,B
61436,77,77,B
61480,0,0,B
61604,NULL,160,B
61612,NULL,99,C
61659,29,29,B
61671,NULL,19,B
61695,1,1,AA
61781,NULL,142,B
61969,NULL,129,C
62010,2,2,B
62048,48,48,B
62105,NULL,248,C
62162,77,77,B
62249,NULL,73,B
62401,NULL,21,B
62510,NULL,144,B
62747,NULL,53,B
62888,111,111,B
62981,NULL,218,C
63083,NULL,234,C
63181,181,181,B
63182,1,1,AAA
63284,5,5,B
63332,NULL,322,C
63487,NULL,250,C
63564,10,10,A
63755,110,110,B
63769,22,22,B
63835,6,6,A
64128,NULL,283,C
64144,7,7,B
64210,14,14,B
64268,111,111,B
64296,NULL,259,C
64302,NULL,66,B
64370,NULL,99,B
64431,18,18,C
64780,NULL,233,C
64930,NULL,267,C
64998,146,146,B
65008,NULL,124,B
65015,NULL,343,C
65146,3,3,B
65297,NULL,8,C
65355,NULL,86,B
65426,62,62,B
65461,NULL,341,C
65614,NULL,319,C
65630,16,16,B
65766,NULL,340,C
65815,NULL,133,C
66066,NULL,64,B
66088,NULL,307,C
66708,NULL,12,C
66757,59,59,C
66855,NULL,140,C
67014,NULL,344,C
67172,NULL,5,C
67227,NULL,307,C
67496,70,70,C
67518,NULL,339,C
67585,88,88,B
67685,NULL,33,C
67911,49,49,B
67930,NULL,261,C
68076,4,4,AA
68087,NULL,65,B
68316,NULL,276,C
68356,NULL,85,B
69170,187,187,B
69281,NULL,61,C
69357,NULL,10,C
69394,NULL,27,B
69408,NULL,135,C
69525,3,3,B
69529,2,2,B
69715,NULL,205,C
70040,NULL,7,C
70097,43,43,B
70152,150,150,C
70199,NULL,291,C
70454,NULL,277,C
70512,86,86,A
70564,NULL,272,C
70639,6,6,B
70645,91,91,B
70687,19,19,B
70922,NULL,17,B
70965,114,114,C
70978,NULL,48,C
71035,17,17,B
71464,NULL,232,C
71599,NULL,9,B
71683,NULL,49,B
71738,NULL,186,C
71870,50,50,B
71898,NULL,277,C
71978,15,15,B
71979,127,127,B
72061,23,23,AA
72113,47,47,C
72127,NULL,324,C
72144,9,9,A
72231,NULL,79,B
72255,43,43,B
72503,14,14,C
72637,NULL,276,C
72822,147,147,C
73028,33,33,B
73234,NULL,127,C
73271,NULL,107,B
73338,NULL,197,C
73475,NULL,43,C
73526,NULL,329,C
73552,234,234,C
73590,NULL,318,C
73715,NULL,109,B
73839,NULL,100,C
73866,10,10,AA
74015,29,29,B
74202,NULL,246,C
74224,NULL,203,C
74341,NULL,22,C
74383,16,16,B
74417,NULL,190,C
74438,152,152,B
74499,NULL,258,C
74576,118,118,B
74623,1,1,B
74867,NULL,12,C
74880,76,76,B
74900,24,24,B
75412,14,14,C
75456,NULL,181,C
75458,NULL,80,B
75587,41,41,B
75599,NULL,6,B
75746,0,0,A
75927,NULL,219,C
75973,40,40,B
76004,11,11,C
76080,6,6,A
76135,NULL,320,C
76171,33,33,B
76188,34,34,B
76201,0,0,B
76203,31,31,B
76347,35,35,B
76447,0,0,AA
76482,11,11,B
76484,NULL,7,B
76502,NULL,177,C
76628,106,106,B
76663,278,278,C
76674,NULL,137,C
76699,10,10,B
76701,103,103,B
76973,19,19,B
76980,NULL,107,C
77065,NULL,97,C
77129,5,5,AA
77198,NULL,148,C
77199,NULL,8,B
77237,6,6,A
77323,NULL,294,C
77333,23,23,B
77505,104,104,B
77667,33,33,C
77679,139,139,B
77706,7,7,B
77780,NULL,81,C
78118,1,1,AA
78120,24,24,AA
78240,144,144,B
78335,48,48,B
78401,NULL,36,C
78412,115,115,B
78531,119,119,C
78534,6,6,C
78599,151,151,B
78911,NULL,162,C
78960,62,62,B
79072,26,26,B
79237,84,84,A
79248,NULL,7,B
79320,NULL,212,C
79420,0,0,B
79806,NULL,19,C
79978,21,21,A
80179,NULL,23,C
80199,190,190,C
80299,NULL,8,B
80348,NULL,156,C
80350,NULL,8,C
80352,NULL,93,B
80427,165,165,C
80483,115,115,B
80704,NULL,316,C
80786,NULL,103,C
80825,NULL,84,C
80892,63,63,B
81015,NULL,16,B
81046,NULL,153,C
81134,19,19,A
81147,76,76,C
81234,NULL,269,C
81236,NULL,4,B
81314,13,13,B
81502,17,17,B
81787,139,139,C
81994,242,242,C
82019,NULL,169,C
82112,NULL,85,C
82155,NULL,100,C
82164,84,84,B
82222,122,122,C
82266,NULL,32,B
82282,238,238,C
82323,NULL,20,C
82355,NULL,55,C
83034,9,9,B
83404,0,0,B
83441,0,0,A
83452,NULL,237,C
83499,NULL,95,B
83524,7,7,A
83625,NULL,255,C
83694,NULL,58,B
83704,NULL,94,C
83874,NULL,135,C
83882,9,9,B
84096,185,185,B
84106,40,40,A
84287,NULL,102,C
84304,35,35,C
84305,NULL,98,C
84344,10,10,B
84421,19,19,B
84513,NULL,20,B
84534,NULL,23,C
84640,NULL,250,C
84772,116,116,B
84784,96,96,C
84917,NULL,92,B
85221,NULL,152,C
85557,1,1,A
85621,NULL,255,C
85751,3,3,B
85832,NULL,230,C
85873,3,3,C
85931,NULL,267,C
85946,NULL,3,B
85953,NULL,26,C
86005,NULL,51,B
86258,18,18,A
86412,55,55,B
